,Total Land Area (acres),Number of Cows,Product ID,Quantity (liters/kg),Overall Prices,Total Value of products available,Shelf Life (days),Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Year of recording data,clusters
1250,782.82,39,4,145.07,77.18,11196.5026,29,84,80.76,6783.84,61,78.16,103.77,2020,0
1251,870.03,48,6,424.45,39.34,16697.863,7,7,41.87,293.09,417,82.64,171.4,2020,0
1252,448.35,61,2,66.27,80.29,5320.8183,25,3,77.21,231.63,63,95.39,83.21,2020,0
1253,576.43,16,10,554.15,28.03,15532.8245,104,270,31.27,8442.9,284,53.68,191.7,2020,0
1254,458.16,67,4,145.38,52.5,7632.45,22,144,50.28,7240.32,1,29.05,116.16,2020,0
1255,820.79,30,8,814.53,47.29,38519.1237,11,427,48.28,20615.56,387,81.98,85.18,2020,2
1256,555.39,24,5,792.29,21.78,17256.0762,24,539,25.47,13728.33,253,31.8,26.12,2020,0
1257,542.5,45,5,818.87,81.54,66770.6598,21,806,81.78,65914.68,12,67.05,149.88,2020,1
1258,236.72,81,3,12.39,58.28,722.0892,69,1,58.09,58.09,11,31.99,69.19,2020,0
1259,21.11,50,6,708.13,63.49,44959.1737,5,504,62.1,31298.4,204,41.55,86.19,2020,2
1260,723.61,30,4,876.06,35.97,31511.8782,29,36,40.87,1471.32,840,58.79,47.88,2020,2
1261,687.35,64,10,464.51,49.84,23151.1784,87,365,49.76,18162.4,99,43.69,29.69,2020,2
1262,536.76,40,10,136.74,75.91,10379.9334,107,87,77.85,6772.95,49,39.94,147.49,2020,0
1263,660.68,25,5,249.49,89.82,22409.1918,25,180,87.33,15719.4,69,20.13,90.92,2020,2
1264,534.92,45,5,987.05,16.92,16700.886,22,581,15.59,9057.79,406,29.93,95.22,2020,0
1265,358.15,49,8,277.38,51.52,14290.6176,9,252,48.51,12224.52,25,94.7,91.89,2020,0
1266,764.8,27,6,84.22,92.49,7789.5078,5,68,88.29,6003.72,16,85.51,117.92,2020,0
1267,342.77,31,1,911.4,19.22,17517.108,29,677,19.15,12964.55,234,63.38,168.8,2020,0
1268,586.5,18,10,835.07,36.57,30538.5099,132,309,32.12,9925.08,526,12.28,32.49,2020,2
1269,871.04,72,9,38.12,56.22,2143.1064,12,20,56.17,1123.4,18,26.88,85.04,2020,0
1270,246.31,40,8,165.35,74.99,12399.5965,8,161,70.08,11282.88,4,79.39,20.93,2020,0
1271,598.28,42,3,898.96,27.0,24271.92,83,23,22.91,526.93,875,28.81,65.95,2020,0
1272,14.97,71,1,821.52,11.58,9513.2016,1,778,8.69,6760.82,43,89.45,28.11,2020,0
1273,572.65,70,7,202.56,67.68,13709.2608,12,95,67.76,6437.2,107,63.49,114.93,2020,0
1274,83.17,49,7,628.45,19.02,11953.119,15,425,22.71,9651.75,203,63.53,44.4,2020,0
1275,184.38,12,6,842.68,76.4,64380.752,6,280,78.82,22069.6,562,44.3,186.57,2020,1
1276,117.06,30,4,970.44,23.06,22378.3464,24,920,26.54,24416.8,50,27.76,151.6,2020,2
1277,203.24,23,7,146.96,48.34,7104.0464,17,21,49.75,1044.75,125,40.68,147.85,2020,0
1278,684.16,74,8,797.16,30.33,24177.8628,13,125,27.8,3475.0,672,31.54,187.02,2020,0
1279,419.37,38,3,166.24,22.53,3745.3872,37,62,20.59,1276.58,104,60.58,197.18,2020,0
1280,919.96,41,1,920.32,70.17,64578.8544,1,882,65.45,57726.9,38,37.84,24.49,2020,1
1281,579.27,11,6,730.88,29.29,21407.4752,5,444,25.07,11131.08,286,70.73,93.05,2020,0
1282,670.22,73,7,648.13,99.03,64184.3139,16,597,103.49,61783.53,51,84.53,83.17,2020,1
1283,743.43,53,9,936.16,49.46,46302.4736,10,29,52.37,1518.73,907,71.33,26.94,2020,2
1284,363.91,75,5,124.55,64.46,8028.493,23,90,65.59,5903.1,34,40.89,139.67,2020,0
1285,707.65,68,9,909.36,40.36,36701.7696,11,433,35.69,15453.77,476,63.9,66.82,2020,2
1286,396.02,90,7,979.36,63.55,62238.328,16,282,59.29,16719.78,697,16.67,151.22,2020,1
1287,399.24,59,10,85.21,76.34,6504.9314,147,80,71.87,5749.6,5,57.42,186.71,2020,0
1288,94.15,35,3,736.8,67.27,49564.536,63,431,64.41,27760.71,305,59.0,192.23,2020,2
1289,292.99,58,8,114.29,42.38,4843.6102,13,59,43.14,2545.26,55,19.07,190.04,2020,0
1290,394.61,89,1,355.32,64.34,22861.2888,25,137,65.93,9032.41,218,15.99,31.21,2020,0
1291,230.29,34,7,980.84,31.06,30464.8904,14,269,30.7,8258.3,711,24.02,129.66,2020,2
1292,455.29,60,3,598.46,20.8,12447.968,87,31,20.04,621.24,567,18.53,104.78,2020,0
1293,276.41,23,1,978.15,93.26,91222.269,23,2,91.91,183.82,976,87.27,122.14,2020,1
1294,156.13,66,4,174.93,52.01,9098.1093,30,107,49.44,5290.08,67,72.4,182.09,2020,0
1295,967.25,68,1,31.22,45.14,1409.2708,29,8,47.33,378.64,23,93.2,192.03,2020,0
1296,414.84,24,3,405.55,49.85,20216.6675,45,375,50.56,18960.0,30,72.07,119.95,2020,2
1297,201.66,47,7,273.84,19.31,5287.8504,18,168,15.65,2629.2,105,85.6,45.5,2020,0
1298,755.21,13,9,580.5,15.96,9264.78,13,246,18.07,4445.22,334,96.39,99.44,2020,0
1299,89.98,12,1,613.5,19.18,11766.93,2,527,14.31,7541.37,86,92.29,134.91,2020,0
1300,416.64,51,7,113.87,30.01,3417.2387,14,19,33.14,629.66,94,77.49,124.24,2020,0
1301,202.81,72,4,856.04,48.25,41303.93,29,573,47.49,27211.77,283,62.79,133.28,2020,2
1302,834.85,93,2,838.39,34.23,28698.0897,39,185,33.65,6225.25,653,55.87,82.41,2020,2
1303,706.48,19,2,848.92,12.39,10518.1188,25,25,11.47,286.75,823,67.33,22.72,2020,0
1304,839.2,51,5,542.92,64.71,35132.3532,21,476,66.34,31577.84,66,49.73,91.88,2020,2
1305,992.69,82,8,972.79,21.5,20914.985,8,105,23.58,2475.9,867,53.4,136.29,2020,0
1306,664.68,36,8,758.09,57.62,43681.1458,11,582,52.92,30799.44,176,25.82,146.88,2020,2
1307,912.71,88,5,987.59,32.56,32155.9304,30,795,31.61,25129.95,192,38.28,92.47,2020,2
1308,15.01,68,10,376.32,63.78,24001.6896,74,143,62.24,8900.32,233,82.97,79.55,2020,0
1309,589.76,59,9,275.2,27.89,7675.328,12,222,30.47,6764.34,53,53.95,157.94,2020,0
1310,193.12,58,2,442.7,43.63,19315.001,39,341,45.86,15638.26,101,16.81,102.19,2020,0
1311,195.88,48,5,131.65,56.27,7407.9455,22,11,59.18,650.98,120,70.66,151.25,2020,0
1312,269.63,91,3,517.69,90.28,46737.0532,85,239,86.91,20771.49,278,51.96,106.1,2020,2
1313,527.23,67,6,499.31,16.06,8018.9186,6,15,15.67,235.05,484,81.45,100.71,2020,0
1314,926.04,33,5,328.34,25.88,8497.4392,26,253,29.52,7468.56,75,91.9,20.73,2020,0
1315,930.73,27,1,876.9,59.61,52272.009,22,807,63.46,51212.22,69,88.2,189.28,2020,1
1316,656.9,21,6,983.13,88.22,86731.7286,7,53,89.94,4766.82,930,14.82,125.72,2020,1
1317,576.17,44,8,595.09,23.97,14264.3073,14,32,24.02,768.64,563,82.2,62.36,2020,0
1318,198.35,95,5,426.92,32.95,14067.014,24,339,32.58,11044.62,87,51.19,78.53,2020,0
1319,49.58,86,8,408.88,81.25,33221.5,10,406,81.29,33003.74,2,49.88,80.97,2020,2
1320,789.97,13,2,723.71,39.41,28521.4111,26,361,36.38,13133.18,362,97.76,136.93,2020,2
1321,908.8,80,8,4.92,33.99,167.2308,10,1,37.83,37.83,3,31.62,21.3,2020,0
1322,613.54,53,8,272.42,20.16,5491.9872,10,86,16.05,1380.3,186,80.1,177.03,2020,0
1323,904.98,79,8,133.63,67.82,9062.7866,10,101,65.42,6607.42,32,20.68,150.01,2020,0
1324,364.27,41,5,69.59,95.3,6631.927,28,36,98.67,3552.12,33,62.77,87.86,2020,0
1325,761.69,99,3,125.26,61.69,7727.2894,25,56,58.05,3250.8,69,18.51,150.17,2020,0
1326,877.77,68,10,364.83,39.15,14283.0945,91,194,39.58,7678.52,170,36.52,39.44,2020,0
1327,617.94,19,1,414.35,62.91,26066.7585,1,166,61.96,10285.36,248,74.86,139.61,2020,2
1328,364.69,72,7,711.66,32.37,23036.4342,15,657,27.76,18238.32,54,90.17,71.42,2020,2
1329,608.22,96,5,15.89,52.31,831.2059,27,13,51.86,674.18,2,78.48,153.58,2020,0
1330,393.5,53,6,607.17,93.64,56855.3988,7,574,93.46,53646.04,33,53.21,51.29,2020,1
1331,394.52,39,8,475.2,18.28,8686.656,8,22,23.06,507.32,453,63.4,164.53,2020,0
1332,40.63,68,4,446.4,88.47,39493.008,22,269,85.06,22881.14,177,97.73,100.03,2020,2
1333,603.3,25,6,379.96,68.14,25890.4744,6,139,71.59,9951.01,240,87.45,99.43,2020,2
1334,424.73,71,3,282.11,59.63,16822.2193,66,102,60.73,6194.46,180,98.34,26.59,2020,0
1335,726.5,44,4,720.03,76.71,55233.5013,23,489,77.95,38117.55,231,33.89,180.37,2020,1
1336,186.79,85,6,490.01,98.58,48305.1858,6,343,93.75,32156.25,147,39.38,162.18,2020,1
1337,476.8,37,4,411.03,93.52,38439.5256,25,390,90.48,35287.2,21,84.08,40.19,2020,2
1338,946.29,93,6,901.07,22.67,20427.2569,5,684,24.89,17024.76,217,51.81,136.66,2020,0
1339,841.02,83,5,985.08,34.8,34280.784,24,276,36.82,10162.32,709,81.49,175.99,2020,2
1340,372.78,63,2,656.31,43.77,28726.6887,28,586,45.26,26522.36,70,27.57,185.34,2020,2
1341,694.1,16,7,204.46,67.46,13792.8716,15,7,63.79,446.53,197,62.94,160.93,2020,0
1342,523.3,61,1,72.85,40.06,2918.371,25,47,40.14,1886.58,25,92.19,115.29,2020,0
1343,747.24,77,3,881.64,21.89,19299.0996,32,117,25.6,2995.2,764,18.16,107.38,2020,0
1344,433.14,77,10,345.34,64.59,22305.5106,97,157,64.54,10132.78,188,38.46,132.81,2020,0
1345,737.34,100,9,748.34,45.93,34371.2562,10,592,47.2,27942.4,156,33.99,35.99,2020,2
1346,703.23,61,3,37.63,36.46,1371.9898,40,13,31.88,414.44,24,93.62,75.96,2020,0
1347,171.12,13,3,229.37,58.8,13486.956,53,150,60.94,9141.0,79,56.67,191.43,2020,0
1348,74.82,53,10,738.95,19.84,14660.768,86,721,23.88,17217.48,17,43.07,165.85,2020,0
1349,567.85,55,9,648.25,43.65,28296.1125,7,82,45.7,3747.4,566,52.98,125.9,2020,2
1350,791.28,13,4,727.93,36.85,26824.2205,23,578,33.43,19322.54,149,44.0,123.04,2020,2
1351,630.89,28,1,344.76,48.93,16869.1068,2,220,49.91,10980.2,124,97.57,114.1,2020,0
1352,502.37,97,6,933.88,72.89,68070.5132,6,725,74.92,54317.0,208,41.24,49.66,2020,1
1353,455.54,13,1,405.67,78.37,31792.3579,24,102,80.19,8179.38,303,52.85,155.97,2020,2
1354,956.37,97,1,406.19,23.3,9464.227,2,188,28.03,5269.64,218,75.67,54.54,2020,0
1355,689.6,17,7,815.32,26.27,21418.4564,16,653,29.49,19256.97,162,94.48,117.21,2020,2
1356,484.39,19,6,696.09,63.33,44083.3797,5,639,66.81,42691.59,57,46.04,173.7,2020,1
1357,520.3,66,5,384.96,82.96,31936.2816,23,71,86.25,6123.75,313,75.37,48.93,2020,2
1358,150.27,34,6,26.85,21.19,568.9515,5,5,18.51,92.55,21,92.53,140.79,2020,0
1359,128.81,39,10,750.49,55.78,41862.3322,110,320,58.83,18825.6,430,28.52,80.58,2020,2
1360,378.37,98,5,284.31,82.12,23347.5372,26,116,77.75,9019.0,168,32.5,132.47,2020,0
1361,943.06,11,3,35.43,11.58,410.2794,90,9,15.61,140.49,26,14.1,31.64,2020,0
1362,288.51,82,1,428.65,17.17,7359.9205,28,269,18.81,5059.89,159,78.61,121.03,2020,0
1363,678.65,71,8,153.55,81.19,12466.7245,9,138,86.05,11874.9,15,83.53,94.56,2020,0
1364,926.92,44,2,71.21,62.24,4432.1104,33,39,60.36,2354.04,32,96.68,181.81,2020,0
1365,769.93,26,2,489.85,21.89,10722.8165,37,389,23.07,8974.23,100,75.44,60.55,2020,0
1366,490.54,42,2,325.28,50.71,16494.9488,34,238,51.02,12142.76,87,36.24,98.98,2020,0
1367,916.67,85,1,93.56,14.94,1397.7864,28,90,13.85,1246.5,3,46.84,117.48,2020,0
1368,867.87,28,6,471.07,43.05,20279.5635,5,261,39.73,10369.53,210,78.42,45.86,2020,0
1369,313.6,28,8,322.45,41.83,13488.0835,13,149,39.53,5889.97,173,83.53,175.86,2020,0
1370,864.46,30,6,224.6,95.23,21388.658,6,19,91.61,1740.59,205,15.95,82.19,2020,0
1371,103.43,98,10,876.5,58.31,51108.715,150,628,53.46,33572.88,248,39.58,131.01,2020,1
1372,573.5,99,6,816.91,53.18,43443.2738,6,307,52.83,16218.81,509,29.63,169.01,2020,2
1373,15.88,96,1,274.46,33.2,9112.072,28,250,30.96,7740.0,24,71.11,165.85,2020,0
1374,731.52,71,7,794.19,64.14,50939.3466,16,461,63.0,29043.0,333,81.06,129.16,2020,1
1375,763.97,12,4,200.3,22.32,4470.696,30,192,18.18,3490.56,8,39.02,150.42,2020,0
1376,538.37,67,9,563.72,58.06,32729.5832,14,46,60.83,2798.18,517,61.72,94.15,2020,2
1377,630.56,48,1,782.62,33.75,26413.425,1,326,29.93,9757.18,456,39.16,61.82,2020,2
1378,74.11,11,3,786.2,60.06,47219.172,82,544,56.31,30632.64,242,16.67,80.49,2020,2
1379,781.74,21,3,980.59,90.69,88929.7071,27,137,94.14,12897.18,843,69.8,33.66,2020,1
1380,521.6,87,9,624.84,35.29,22050.6036,9,366,38.27,14006.82,258,97.5,171.47,2020,0
1381,268.91,90,5,170.53,46.3,7895.539,29,96,50.75,4872.0,74,86.5,21.95,2020,0
1382,989.65,93,10,223.88,80.03,17917.1164,128,62,80.37,4982.94,161,50.74,92.67,2020,0
1383,894.74,69,9,88.05,89.26,7859.343,13,10,85.04,850.4,78,90.43,156.64,2020,0
1384,903.78,22,7,930.98,53.39,49705.0222,17,201,49.82,10013.82,729,58.82,77.49,2020,2
1385,593.19,55,5,613.27,75.25,46148.5675,21,35,77.12,2699.2,578,46.15,192.63,2020,2
1386,366.66,21,3,11.94,22.48,268.4112,84,11,20.19,222.09,0,98.67,22.39,2020,0
1387,708.52,81,2,246.92,80.91,19978.2972,36,19,84.25,1600.75,227,84.84,187.59,2020,0
1388,373.81,24,9,633.59,19.96,12646.4564,11,37,19.9,736.3,596,59.03,183.46,2020,0
1389,488.71,30,4,218.69,44.92,9823.5548,26,122,41.53,5066.66,96,54.99,174.62,2020,0
1390,111.14,19,10,590.08,19.68,11612.7744,97,580,20.08,11646.4,10,72.09,125.48,2020,0
1391,832.11,98,7,656.31,61.74,40520.5794,12,307,58.99,18109.93,349,99.58,155.51,2020,2
1392,509.17,41,2,985.95,92.69,91387.7055,28,56,96.86,5424.16,929,37.94,187.73,2020,1
1393,10.32,24,7,721.45,33.02,23822.279,17,651,37.04,24113.04,70,23.03,20.45,2020,2
1394,231.58,90,2,457.37,66.12,30241.3044,32,198,61.91,12258.18,259,99.62,134.44,2020,2
1395,617.12,26,10,219.0,57.4,12570.6,66,157,58.55,9192.35,62,47.66,158.96,2020,0
1396,959.48,16,9,591.37,86.06,50893.3022,8,398,90.5,36019.0,193,58.1,93.06,2020,1
1397,80.94,93,1,700.61,85.72,60056.2892,1,255,87.59,22335.45,445,94.79,166.99,2020,1
1398,646.72,89,4,507.81,49.69,25233.0789,29,385,49.08,18895.8,122,77.12,114.38,2020,2
1399,231.26,96,6,60.99,83.96,5120.7204,6,20,81.7,1634.0,40,18.29,83.66,2020,0
1400,857.88,43,10,678.76,60.11,40800.2636,63,98,56.57,5543.86,580,52.24,137.21,2020,2
1401,581.95,98,8,710.77,99.99,71069.8923,13,37,95.89,3547.93,673,77.12,106.01,2020,1
1402,880.65,13,3,339.9,30.57,10390.743,74,224,33.09,7412.16,115,49.64,118.39,2020,0
1403,437.23,32,2,916.21,96.75,88643.3175,34,178,96.21,17125.38,738,45.26,118.81,2020,1
1404,602.0,60,8,452.95,70.08,31742.736,7,407,73.32,29841.24,45,64.36,132.27,2020,2
1405,143.45,83,4,906.38,37.99,34433.3762,23,338,36.39,12299.82,568,55.71,171.07,2020,2
1406,592.03,35,4,810.43,54.72,44346.7296,24,82,51.88,4254.16,728,70.3,195.29,2020,2
1407,955.76,51,6,349.63,29.51,10317.5813,7,198,28.49,5641.02,151,30.3,124.96,2020,0
1408,716.14,76,7,349.82,14.55,5089.881,18,140,13.57,1899.8,209,23.94,134.69,2020,0
1409,669.13,49,8,268.12,97.39,26112.2068,7,228,101.5,23142.0,40,98.33,191.93,2020,2
1410,220.35,17,4,868.44,74.84,64994.0496,23,93,77.23,7182.39,775,74.43,78.08,2020,2
1411,409.5,92,9,159.69,71.53,11422.6257,9,30,68.13,2043.9,129,34.19,81.84,2020,0
1412,902.53,87,10,922.22,66.98,61770.2956,81,343,63.97,21941.71,579,21.95,121.19,2020,1
1413,824.51,68,8,499.37,50.43,25183.2291,11,28,48.3,1352.4,471,15.54,106.54,2020,0
1414,52.25,13,7,434.1,70.83,30747.303,13,317,75.54,23946.18,117,47.5,104.02,2020,2
1415,73.41,47,2,609.88,48.7,29701.156,37,537,46.76,25110.12,72,48.43,36.73,2020,2
1416,482.4,97,8,402.07,36.97,14864.5279,10,354,37.66,13331.64,48,50.35,53.97,2020,0
1417,111.6,32,9,544.83,99.49,54205.1367,10,459,95.37,43774.83,85,81.18,199.12,2020,1
1418,453.66,43,2,369.67,41.31,15271.0677,40,233,40.86,9520.38,136,77.18,162.76,2020,0
1419,580.37,70,8,850.3,58.45,49700.035,11,56,62.58,3504.48,794,41.4,68.17,2020,2
1420,574.02,20,1,475.94,61.47,29256.0318,2,100,58.19,5819.0,375,27.3,198.96,2020,2
1421,397.62,74,8,177.63,70.83,12581.5329,7,174,70.12,12200.88,3,46.76,186.83,2020,0
1422,131.86,72,9,653.82,56.8,37136.976,11,500,53.14,26570.0,153,15.83,179.98,2020,2
1423,711.12,100,9,431.2,38.43,16571.016,14,307,40.75,12510.25,124,52.47,87.38,2020,0
1424,442.73,74,7,53.88,29.07,1566.2916,16,6,29.66,177.96,47,22.96,63.07,2020,0
1425,450.5,29,8,121.49,15.38,1868.5162,7,55,14.04,772.2,66,42.89,32.67,2020,0
1426,609.04,53,7,231.88,50.78,11774.8664,12,224,52.1,11670.4,7,88.14,100.1,2020,0
1427,104.84,47,8,269.54,31.02,8361.1308,9,211,26.41,5572.51,58,86.82,127.37,2020,0
1428,227.65,20,6,410.77,84.79,34829.1883,7,292,83.76,24457.92,118,27.5,191.47,2020,2
1429,617.92,55,1,919.38,39.7,36499.386,2,652,41.14,26823.28,267,58.25,42.27,2020,2
1430,378.97,75,1,101.64,51.16,5199.9024,1,27,50.99,1376.73,74,74.6,105.03,2020,0
1431,579.79,36,6,364.58,24.23,8833.7734,7,47,20.5,963.5,317,26.38,198.16,2020,0
1432,996.04,10,10,238.86,83.05,19837.323,122,56,85.52,4789.12,182,11.87,76.04,2020,0
1433,576.24,39,6,917.21,74.42,68258.7682,6,193,76.74,14810.82,724,62.84,132.84,2020,1
1434,816.71,43,8,735.02,66.93,49194.8886,14,88,67.66,5954.08,647,63.09,88.8,2020,2
1435,361.49,69,5,638.55,71.06,45375.363,30,165,71.44,11787.6,473,22.27,126.2,2020,2
1436,598.46,86,10,327.02,64.88,21217.0576,93,237,59.91,14198.67,90,16.35,110.51,2020,0
1437,512.36,35,9,186.61,51.15,9545.1015,14,10,52.48,524.8,176,96.53,154.51,2020,0
1438,342.06,61,9,69.81,18.1,1263.561,14,49,21.3,1043.7,20,28.68,20.29,2020,0
1439,279.92,39,4,608.4,63.63,38712.492,26,154,65.54,10093.16,454,25.09,30.67,2020,2
1440,568.1,59,5,239.71,54.04,12953.9284,24,113,58.22,6578.86,126,65.06,79.68,2020,0
1441,352.3,45,5,369.96,12.53,4635.5988,26,236,14.28,3370.08,133,96.25,118.51,2020,0
1442,630.64,38,7,700.15,34.85,24400.2275,13,548,35.69,19558.12,152,13.76,73.2,2020,2
1443,298.06,12,2,849.92,38.59,32798.4128,37,256,40.09,10263.04,593,36.62,85.87,2020,2
1444,754.01,63,2,307.29,69.69,21415.0401,29,286,74.23,21229.78,21,35.02,131.22,2020,2
1445,789.97,35,3,959.72,63.65,61086.178,59,405,60.63,24555.15,554,83.55,196.03,2020,1
1446,28.69,60,1,693.13,48.78,33810.8814,28,501,47.47,23782.47,192,29.37,146.98,2020,2
1447,266.22,58,4,931.71,45.36,42262.3656,26,834,40.97,34168.98,97,47.75,30.21,2020,2
1448,30.85,41,4,524.57,84.48,44315.6736,28,173,89.32,15452.36,351,92.88,37.73,2020,2
1449,617.09,44,4,960.61,84.72,81382.8792,30,751,84.92,63774.92,209,56.14,135.33,2020,1
1450,50.61,72,5,931.27,55.76,51927.6152,29,117,57.23,6695.91,814,91.86,110.63,2020,2
1451,66.93,49,10,508.72,13.93,7086.4696,131,237,12.61,2988.57,271,37.34,128.2,2020,0
1452,351.14,64,3,133.05,95.44,12698.292,59,119,94.0,11186.0,14,15.25,58.8,2020,0
1453,952.67,63,1,908.35,11.04,10028.184,29,199,14.65,2915.35,709,82.72,149.14,2020,0
1454,229.69,17,1,700.79,30.6,21444.174,1,672,28.59,19212.48,28,95.03,142.78,2020,2
1455,331.07,91,9,495.88,16.6,8231.608,12,13,19.1,248.3,482,53.26,166.41,2020,0
1456,614.27,45,2,417.95,53.93,22540.0435,34,370,58.1,21497.0,47,24.34,28.8,2020,2
1457,557.97,13,6,935.58,60.23,56349.9834,5,526,58.79,30923.54,409,73.04,156.73,2020,1
1458,590.12,66,6,73.34,19.73,1446.9982,7,58,20.19,1171.02,15,56.5,29.46,2020,0
1459,125.21,37,7,855.01,41.16,35192.2116,13,629,43.65,27455.85,226,74.37,89.38,2020,2
1460,391.6,17,2,193.38,84.77,16392.8226,38,33,80.2,2646.6,160,85.54,106.83,2020,0
1461,846.39,26,8,952.18,17.05,16234.669,11,60,19.62,1177.2,892,70.0,154.83,2020,0
1462,638.59,36,6,617.7,81.26,50194.302,6,443,84.61,37482.23,174,34.58,89.7,2020,1
1463,914.72,48,5,341.06,96.92,33055.5352,30,26,93.25,2424.5,315,72.93,41.06,2020,2
1464,615.7,53,6,609.16,66.03,40222.8348,6,55,67.54,3714.7,554,56.1,105.87,2020,2
1465,258.0,58,7,913.82,73.51,67174.9082,16,323,71.89,23220.47,590,94.16,142.36,2020,1
1466,703.04,77,10,387.02,61.92,23964.2784,92,17,61.52,1045.84,370,39.53,77.76,2020,0
1467,220.86,55,9,891.84,41.33,36859.7472,11,753,39.07,29419.71,138,66.18,51.43,2020,2
1468,740.24,48,10,656.46,81.77,53678.7342,109,146,82.19,11999.74,510,93.93,99.04,2020,2
1469,571.36,94,7,846.38,17.49,14803.1862,17,121,18.34,2219.14,725,49.95,156.42,2020,0
1470,860.31,47,4,601.43,78.88,47440.7984,22,477,80.34,38322.18,124,24.77,171.03,2020,1
1471,698.24,62,2,301.03,97.9,29470.837,37,52,100.21,5210.92,249,43.86,160.56,2020,2
1472,707.52,24,10,186.77,59.73,11155.7721,74,185,57.12,10567.2,1,25.51,62.61,2020,0
1473,441.43,96,5,499.13,18.67,9318.7571,28,240,16.92,4060.8,259,41.25,47.84,2020,0
1474,615.2,16,10,335.67,69.34,23275.3578,77,184,71.67,13187.28,151,15.37,178.33,2020,2
1475,819.02,95,7,621.2,65.89,40930.868,12,290,70.32,20392.8,331,18.36,182.57,2020,2
1476,808.76,64,9,908.36,30.7,27886.652,11,395,34.3,13548.5,513,56.89,152.33,2020,2
1477,659.03,86,3,668.92,31.42,21017.4664,68,276,33.91,9359.16,392,30.92,35.08,2020,0
1478,843.08,44,6,460.57,88.15,40599.2455,7,203,90.14,18298.42,257,93.42,115.22,2020,2
1479,901.86,18,2,403.35,19.94,8042.799,38,183,21.83,3994.89,220,68.73,102.13,2020,0
1480,609.62,37,1,15.02,61.91,929.8882,23,6,64.22,385.32,9,67.32,46.3,2020,0
1481,963.78,62,7,711.01,55.64,39560.5964,16,132,55.37,7308.84,579,88.68,56.3,2020,2
1482,623.18,71,7,698.34,72.75,50804.235,15,488,72.56,35409.28,210,21.16,140.38,2020,1
1483,269.04,58,5,139.2,47.56,6620.352,24,107,51.45,5505.15,32,44.92,55.08,2020,0
1484,147.81,90,6,905.36,33.85,30646.436,5,640,30.88,19763.2,265,82.32,186.66,2020,2
1485,265.13,48,3,972.53,53.97,52487.4441,38,949,50.32,47753.68,23,41.53,21.63,2020,1
1486,161.26,29,1,182.59,17.56,3206.2804,28,47,14.7,690.9,135,12.98,84.14,2020,0
1487,47.61,33,9,260.08,27.3,7100.184,14,76,25.21,1915.96,184,60.5,199.47,2020,0
1488,585.22,63,1,937.13,66.0,61850.58,1,858,69.52,59648.16,79,24.78,197.52,2020,1
1489,819.96,33,3,241.72,89.69,21679.8668,86,28,94.49,2645.72,213,83.24,113.84,2020,0
1490,649.69,36,8,102.76,49.96,5133.8896,13,63,53.47,3368.61,39,83.23,92.95,2020,0
1491,576.38,86,3,265.07,25.71,6814.9497,69,81,21.38,1731.78,184,78.31,146.96,2020,0
1492,784.29,25,1,528.11,21.98,11607.8578,2,177,25.47,4508.19,351,18.29,89.61,2020,0
1493,204.17,44,2,621.61,10.71,6657.4431,38,234,7.75,1813.5,387,19.78,88.68,2020,0
1494,470.86,45,4,8.06,34.2,275.652,22,5,33.79,168.95,3,59.9,104.29,2020,0
1495,859.25,92,7,749.78,25.91,19426.7998,17,324,21.82,7069.68,425,12.49,159.68,2020,0
1496,851.84,96,1,843.9,36.35,30675.765,1,125,35.83,4478.75,718,61.06,139.73,2020,2
1497,270.92,23,4,239.22,21.33,5102.5626,26,104,24.84,2583.36,135,57.51,118.0,2020,0
1498,550.97,77,9,798.14,87.37,69733.4918,9,604,83.96,50711.84,194,23.34,64.25,2020,1
1499,617.91,51,3,524.99,95.15,49952.7985,88,384,97.39,37397.76,140,24.01,26.26,2020,1
1500,350.71,95,3,227.23,41.89,9518.6647,73,67,41.08,2752.36,160,58.88,33.03,2020,0
1501,718.95,98,7,340.33,94.29,32089.7157,18,324,95.29,30873.96,16,79.04,197.01,2020,2
1502,181.54,95,9,359.94,88.41,31822.2954,10,279,87.42,24390.18,80,15.99,172.81,2020,2
1503,983.67,94,4,29.76,53.65,1596.624,29,1,49.12,49.12,28,20.94,53.54,2020,0
1504,343.51,12,1,834.13,25.48,21253.6324,1,406,27.22,11051.32,428,58.16,128.69,2020,0
1505,186.65,51,2,207.74,70.93,14734.9982,35,107,69.01,7384.07,100,26.53,85.89,2020,0
1506,27.87,41,3,92.28,84.3,7779.204,36,78,82.15,6407.7,14,71.96,119.98,2020,0
1507,978.85,22,8,399.81,77.13,30837.3453,12,265,79.6,21094.0,134,70.23,23.73,2020,2
1508,452.09,79,4,10.48,18.45,193.356,23,9,22.42,201.78,1,74.72,93.23,2020,0
1509,812.5,71,6,816.36,37.4,30531.864,6,632,33.03,20874.96,184,89.17,188.16,2020,2
1510,652.46,85,7,356.66,28.8,10271.808,18,32,28.92,925.44,324,85.77,186.02,2020,0
1511,845.18,66,7,331.3,67.3,22296.49,12,135,67.91,9167.85,196,82.87,190.42,2020,0
1512,772.48,70,10,300.72,11.32,3404.1504,65,26,15.57,404.82,274,63.07,36.53,2020,0
